# True Coefficients,sklearn Coefficients,Mean Abs. Shap Values
3.698382253032151713e-03,3.698382253032143473e-03,2.456506687569521945e-03
7.765400334957618710e-04,7.765400334957734720e-04,6.376570123981189055e-04
2.695401978671032716e-03,2.695401978671035752e-03,2.252073983007565373e-03
2.586323173057841242e-03,2.586323173057843410e-03,2.090727457089231606e-03
-2.900872302313173712e-03,-2.900872302313178917e-03,1.044927068524760050e-03
2.592610033191480672e-04,2.592610033191307742e-04,2.044790406760300949e-04
-3.141244506692131896e-03,-3.141244506692123656e-03,2.930047263242616367e-03
1.968795601479644917e-03,1.968795601479628437e-03,1.769996051455788007e-03
2.008312808262926693e-04,2.008312808262965182e-04,1.649140042395645374e-04
2.445140650552081116e-03,2.445140650552088922e-03,1.759165839940127467e-03
5.585076700551936356e-03,5.585076700551950234e-03,4.031153014710841045e-03
-1.243149441184895378e-02,-1.243149441184895725e-02,1.085139807733172430e-02
4.058770995132723360e-03,4.058770995132722492e-03,3.098378758357072174e-03
-9.026572666444979132e-03,-9.026572666444982601e-03,7.510423113368479113e-03
1.491280935481839771e-03,1.491280935481833700e-03,1.035231887254693065e-03
-2.202090150317924204e-03,-2.202090150317922903e-03,1.848217768023066023e-03
2.445921556021914047e-03,2.445921556021918818e-03,1.948810729773687049e-03
-3.811466935284541120e-03,-3.811466935284541554e-03,3.127961818817450324e-03
5.014542930721652830e-03,5.014542930721671912e-03,4.522451161888404840e-03
-4.786904232498345041e-03,-4.786904232498353715e-03,3.994521234525851873e-03
2.199460127387544393e-03,2.199460127387543526e-03,1.917440919017981580e-03
-3.812637852664025988e-03,-3.812637852664025120e-03,3.129099867429994356e-03
-3.046185217768950307e-03,-3.046185217768957246e-03,2.684416894830528050e-03
-5.572953625770224982e-03,-5.572953625770222380e-03,4.937802276217723857e-03
4.265129480027567491e-03,4.265129480027558817e-03,3.295897180632450726e-03
2.349654555147319673e-03,2.349654555147329214e-03,2.143194784663338820e-03
6.040941825657408955e-03,6.040941825657425435e-03,4.487988570127035906e-03
2.029819001528009037e-04,2.029819001528035058e-04,1.638281322687989993e-04
-2.098027500040486153e-03,-2.098027500040492224e-03,1.742457448036411130e-03
-5.718178879092250576e-04,-5.718178879092349239e-04,4.748828609521112370e-04
-3.225275065192147357e-03,-3.225275065192137816e-03,1.746502108370995591e-03
