# Pearson,Kendall,,Average Pearson: 0.622250367979562
5.25E-01,3.68E-01,,Average Kendall: 0.38757894736842
6.35E-01,4.21E-01,,
5.26E-01,3.37E-01,,Pearson St. Dev: 0.191731059656964
4.51E-01,2.95E-01,,Kendall St. Dev: 0.147394089053457
5.19E-01,3.26E-01,,
7.43E-01,6.42E-01,,
7.42E-01,3.37E-01,,
8.47E-01,6.42E-01,,
6.52E-01,3.79E-01,,
7.98E-01,5.47E-01,,
7.96E-01,4.53E-01,,
6.77E-01,2.95E-01,,
7.69E-01,4.32E-01,,
7.37E-01,4.95E-01,,
4.02E-01,3.37E-01,,
6.75E-01,4.11E-01,,
4.60E-01,3.68E-01,,
7.17E-01,3.26E-01,,
4.70E-01,2.53E-01,,
7.69E-01,5.16E-01,,
5.75E-01,3.47E-01,,
6.24E-01,4.42E-01,,
3.21E-01,2.32E-01,,
4.58E-01,-2.11E-02,,
7.43E-01,5.58E-01,,
6.96E-01,4.21E-01,,
6.96E-01,4.63E-01,,
7.53E-01,3.05E-01,,
6.07E-01,4.00E-01,,
4.36E-01,3.26E-01,,
7.48E-01,4.42E-01,,
3.78E-01,2.00E-01,,
3.15E-01,1.05E-02,,
5.89E-01,4.00E-01,,
6.18E-01,4.32E-01,,
5.75E-01,4.53E-01,,
5.40E-03,7.37E-02,,
7.43E-01,5.58E-01,,
6.94E-01,5.16E-01,,
6.70E-01,1.79E-01,,
6.13E-01,3.68E-01,,
7.24E-01,4.74E-01,,
8.22E-01,5.37E-01,,
7.08E-01,2.95E-01,,
8.89E-01,5.68E-01,,
8.13E-01,5.37E-01,,
4.77E-01,2.95E-01,,
7.16E-01,4.84E-01,,
3.06E-01,2.95E-01,,
3.74E-01,2.21E-01,,
5.81E-01,3.89E-01,,
5.49E-01,4.63E-01,,
7.29E-01,4.42E-01,,
8.03E-01,5.58E-01,,
6.05E-01,3.58E-01,,
6.38E-01,4.00E-01,,
3.44E-01,2.21E-01,,
6.35E-01,3.89E-01,,
9.39E-01,6.21E-01,,
6.01E-01,3.16E-01,,
6.60E-01,3.16E-01,,
7.90E-01,5.16E-01,,
7.14E-01,5.16E-01,,
8.37E-01,5.05E-01,,
7.42E-01,5.37E-01,,
4.82E-01,2.21E-01,,
7.19E-01,3.16E-01,,
4.60E-01,2.21E-01,,
6.26E-01,4.11E-01,,
-1.01E-01,3.16E-02,,
6.39E-01,4.95E-01,,
4.58E-01,2.53E-01,,
8.61E-01,6.42E-01,,
5.82E-01,3.47E-01,,
5.67E-01,3.26E-01,,
8.72E-01,6.95E-01,,
3.52E-01,1.89E-01,,
5.24E-01,3.05E-01,,
8.50E-01,6.42E-01,,
-1.05E-01,1.05E-02,,
6.40E-01,2.84E-01,,
3.49E-01,3.05E-01,,
7.56E-01,4.21E-01,,
6.73E-01,4.42E-01,,
4.74E-01,2.11E-01,,
8.09E-01,5.16E-01,,
8.93E-01,7.26E-01,,
7.47E-01,4.32E-01,,
7.91E-01,4.00E-01,,
7.58E-01,5.68E-01,,
5.49E-01,1.68E-01,,
5.87E-01,4.74E-01,,
8.19E-01,5.37E-01,,
6.31E-01,4.63E-01,,
7.24E-01,3.68E-01,,
7.25E-01,3.79E-01,,
7.13E-01,3.79E-01,,
8.42E-01,3.68E-01,,
6.48E-01,3.47E-01,,
5.45E-01,3.26E-01,,
