# Pearson,Kendall,,Average Pearson: 0.94137492763729
8.89E-01,8.32E-01,,Average Kendall: 0.854210526315789
9.96E-01,9.05E-01,,
9.88E-01,9.37E-01,,Pearson St. Dev: 0.0572090595990065
9.70E-01,8.63E-01,,Kendall St. Dev: 0.0715397678682035
9.72E-01,8.63E-01,,
9.68E-01,8.21E-01,,
9.89E-01,9.16E-01,,
9.96E-01,9.47E-01,,
9.23E-01,7.79E-01,,
9.92E-01,8.95E-01,,
8.76E-01,7.37E-01,,
8.03E-01,7.58E-01,,
9.85E-01,9.26E-01,,
9.72E-01,8.74E-01,,
9.80E-01,9.16E-01,,
9.89E-01,9.26E-01,,
9.40E-01,7.79E-01,,
9.12E-01,8.74E-01,,
7.67E-01,7.37E-01,,
9.82E-01,9.16E-01,,
9.69E-01,8.95E-01,,
9.72E-01,8.53E-01,,
9.64E-01,8.32E-01,,
9.90E-01,9.68E-01,,
9.34E-01,8.63E-01,,
9.50E-01,8.74E-01,,
9.73E-01,8.74E-01,,
9.74E-01,9.58E-01,,
9.12E-01,8.11E-01,,
9.74E-01,8.11E-01,,
9.73E-01,8.63E-01,,
9.88E-01,9.47E-01,,
9.39E-01,8.63E-01,,
8.99E-01,8.21E-01,,
9.77E-01,8.00E-01,,
7.20E-01,6.84E-01,,
9.54E-01,9.16E-01,,
9.13E-01,8.00E-01,,
9.97E-01,9.26E-01,,
9.40E-01,8.63E-01,,
9.81E-01,9.05E-01,,
9.92E-01,8.53E-01,,
9.29E-01,9.16E-01,,
8.73E-01,6.84E-01,,
9.62E-01,8.95E-01,,
9.88E-01,8.95E-01,,
9.25E-01,8.84E-01,,
9.75E-01,8.21E-01,,
8.55E-01,6.63E-01,,
9.79E-01,9.16E-01,,
9.13E-01,6.63E-01,,
9.28E-01,7.79E-01,,
9.95E-01,9.37E-01,,
8.71E-01,7.68E-01,,
8.97E-01,7.79E-01,,
9.41E-01,8.63E-01,,
9.76E-01,8.42E-01,,
8.01E-01,6.84E-01,,
9.79E-01,9.05E-01,,
9.73E-01,9.05E-01,,
9.58E-01,8.74E-01,,
9.14E-01,8.11E-01,,
9.74E-01,9.26E-01,,
9.98E-01,9.47E-01,,
9.39E-01,8.74E-01,,
8.72E-01,9.05E-01,,
8.73E-01,8.11E-01,,
8.23E-01,7.47E-01,,
9.53E-01,9.37E-01,,
9.74E-01,8.74E-01,,
9.86E-01,9.05E-01,,
8.70E-01,8.42E-01,,
9.85E-01,9.26E-01,,
9.85E-01,9.05E-01,,
9.91E-01,9.16E-01,,
9.62E-01,8.63E-01,,
9.76E-01,7.79E-01,,
9.69E-01,8.21E-01,,
9.03E-01,7.26E-01,,
9.11E-01,8.21E-01,,
9.37E-01,8.00E-01,,
9.32E-01,8.53E-01,,
8.25E-01,8.21E-01,,
9.70E-01,8.84E-01,,
9.38E-01,9.05E-01,,
9.81E-01,9.05E-01,,
9.40E-01,8.95E-01,,
9.51E-01,8.84E-01,,
9.27E-01,8.32E-01,,
8.70E-01,7.47E-01,,
9.96E-01,8.95E-01,,
9.77E-01,8.11E-01,,
9.86E-01,9.05E-01,,
7.56E-01,7.05E-01,,
9.86E-01,9.37E-01,,
9.84E-01,9.05E-01,,
9.82E-01,8.74E-01,,
9.64E-01,9.16E-01,,
9.78E-01,8.21E-01,,
9.10E-01,9.37E-01,,
