# Pearson,Kendall,,Average Pearson: 0.821708958725405
8.78E-01,6.84E-01,,Average Kendall: 0.584947368421052
8.17E-01,6.00E-01,,
7.79E-01,5.79E-01,,Pearson St. Dev: 0.0846882263983602
8.82E-01,5.47E-01,,Kendall St. Dev: 0.0908500941782016
7.41E-01,4.95E-01,,
8.21E-01,5.47E-01,,
9.29E-01,6.84E-01,,
7.02E-01,4.00E-01,,
8.47E-01,7.05E-01,,
8.18E-01,5.16E-01,,
8.82E-01,6.53E-01,,
6.12E-01,4.63E-01,,
9.40E-01,7.26E-01,,
9.35E-01,6.53E-01,,
9.19E-01,6.21E-01,,
9.06E-01,4.00E-01,,
7.78E-01,6.00E-01,,
8.38E-01,5.37E-01,,
8.85E-01,5.68E-01,,
8.28E-01,4.42E-01,,
7.75E-01,6.00E-01,,
9.56E-01,7.58E-01,,
9.19E-01,6.74E-01,,
7.65E-01,4.53E-01,,
9.32E-01,7.37E-01,,
8.37E-01,6.84E-01,,
9.15E-01,6.63E-01,,
7.58E-01,4.84E-01,,
7.91E-01,4.84E-01,,
8.53E-01,5.05E-01,,
7.63E-01,5.58E-01,,
8.67E-01,6.53E-01,,
8.81E-01,4.84E-01,,
8.89E-01,6.32E-01,,
8.70E-01,6.53E-01,,
7.57E-01,4.53E-01,,
7.80E-01,6.32E-01,,
8.03E-01,6.00E-01,,
8.07E-01,5.16E-01,,
8.80E-01,6.21E-01,,
7.55E-01,6.11E-01,,
8.25E-01,5.68E-01,,
9.11E-01,6.63E-01,,
8.37E-01,5.79E-01,,
8.48E-01,5.68E-01,,
8.92E-01,6.21E-01,,
8.28E-01,6.42E-01,,
7.72E-01,5.79E-01,,
8.51E-01,6.21E-01,,
8.67E-01,7.26E-01,,
7.96E-01,5.58E-01,,
7.81E-01,6.32E-01,,
8.93E-01,7.58E-01,,
8.64E-01,6.11E-01,,
6.93E-01,6.21E-01,,
7.00E-01,4.11E-01,,
8.80E-01,6.63E-01,,
9.08E-01,7.47E-01,,
7.32E-01,5.89E-01,,
6.05E-01,4.42E-01,,
8.68E-01,6.21E-01,,
8.14E-01,6.21E-01,,
9.13E-01,7.26E-01,,
7.06E-01,6.21E-01,,
7.10E-01,5.26E-01,,
9.19E-01,6.84E-01,,
8.16E-01,5.68E-01,,
6.75E-01,4.84E-01,,
8.81E-01,4.42E-01,,
8.97E-01,4.63E-01,,
9.01E-01,6.11E-01,,
7.68E-01,4.74E-01,,
6.02E-01,4.32E-01,,
8.80E-01,6.11E-01,,
8.76E-01,6.00E-01,,
6.05E-01,3.79E-01,,
7.33E-01,6.00E-01,,
8.60E-01,6.63E-01,,
6.85E-01,5.89E-01,,
9.21E-01,6.21E-01,,
8.75E-01,6.74E-01,,
6.86E-01,5.26E-01,,
8.51E-01,6.21E-01,,
7.64E-01,5.37E-01,,
8.94E-01,7.05E-01,,
8.77E-01,6.42E-01,,
6.93E-01,4.42E-01,,
8.75E-01,6.63E-01,,
9.23E-01,6.95E-01,,
8.67E-01,5.58E-01,,
7.80E-01,5.68E-01,,
8.43E-01,6.53E-01,,
7.98E-01,4.95E-01,,
8.47E-01,5.79E-01,,
8.60E-01,4.42E-01,,
6.20E-01,4.42E-01,,
7.91E-01,5.58E-01,,
9.09E-01,6.00E-01,,
8.78E-01,6.95E-01,,
7.39E-01,5.89E-01,,
