# True Coefficients,sklearn Coefficients,Mean Abs. Shap Values
9.245955632580379283e-04,9.245955632580358683e-04,6.141266718923804862e-04
1.941350083739404677e-04,1.941350083739433680e-04,1.594142530995297264e-04
6.738504946677581790e-04,6.738504946677589379e-04,5.630184957518913434e-04
6.465807932644603104e-04,6.465807932644608525e-04,5.226818642723079014e-04
-7.252180755782934281e-04,-7.252180755782947292e-04,2.612317671311900126e-04
6.481525082978701680e-05,6.481525082978269355e-05,5.111976016900752372e-05
-7.853111266730329739e-04,-7.853111266730309140e-04,7.325118158106540918e-04
4.921989003699112292e-04,4.921989003699071092e-04,4.424990128639470018e-04
5.020782020657316733e-05,5.020782020657412956e-05,4.122850105989113434e-05
6.112851626380202789e-04,6.112851626380222305e-04,4.397914599850318669e-04
1.396269175137984089e-03,1.396269175137987558e-03,1.007788253677710261e-03
-3.107873602962238444e-03,-3.107873602962239312e-03,2.712849519332931076e-03
1.014692748783180840e-03,1.014692748783180623e-03,7.745946895892680435e-04
-2.256643166611244783e-03,-2.256643166611245650e-03,1.877605778342119778e-03
3.728202338704599429e-04,3.728202338704584250e-04,2.588079718136732663e-04
-5.505225375794810510e-04,-5.505225375794807257e-04,4.620544420057665059e-04
6.114803890054785118e-04,6.114803890054797044e-04,4.872026824434217622e-04
-9.528667338211352800e-04,-9.528667338211353885e-04,7.819904547043625810e-04
1.253635732680413208e-03,1.253635732680417978e-03,1.130612790472101210e-03
-1.196726058124586260e-03,-1.196726058124588429e-03,9.986303086314629682e-04
5.498650318468860983e-04,5.498650318468858815e-04,4.793602297544953951e-04
-9.531594631660064969e-04,-9.531594631660062801e-04,7.822749668574985890e-04
-7.615463044422375767e-04,-7.615463044422393114e-04,6.711042237076320126e-04
-1.393238406442556246e-03,-1.393238406442555595e-03,1.234450569054430964e-03
1.066282370006891873e-03,1.066282370006889704e-03,8.239742951581126816e-04
5.874136387868299182e-04,5.874136387868323034e-04,5.357986961658347050e-04
1.510235456414352239e-03,1.510235456414356359e-03,1.121997142531758977e-03
5.074547503820022593e-05,5.074547503820087645e-05,4.095703306719974984e-05
-5.245068750101215382e-04,-5.245068750101230561e-04,4.356143620091027825e-04
-1.429544719773062644e-04,-1.429544719773087310e-04,1.187207152380278093e-04
-8.063187662980368393e-04,-8.063187662980344540e-04,4.366255270927488978e-04
-1.874261383803405565e-04,-1.874261383803419931e-04,1.710962079259653482e-04
-7.860741477725542801e-04,-7.860741477725531959e-04,1.111449917437919122e-04
2.320766697323431351e-03,2.320766697323431785e-03,2.080422548006339266e-03
7.811232443917492376e-04,7.811232443917532492e-04,5.828600621678547804e-04
1.824653012614956579e-04,1.824653012614933269e-04,1.610719408596858861e-04
2.658706443943198872e-04,2.658706443943215135e-04,2.252450617818110878e-04
8.832593311959771728e-04,8.832593311959744623e-04,8.230613008898535459e-04
1.299193742905779998e-03,1.299193742905779781e-03,1.157970287135262752e-03
-3.803369212130168920e-04,-3.803369212130142899e-04,2.849015738763983354e-04
-9.801939448229205019e-04,-9.801939448229200682e-04,8.882114222142766403e-04
-1.519217755767402226e-03,-1.519217755767399407e-03,1.257591676218724639e-03
