# True Coefficients,sklearn Coefficients,Mean Abs. Shap Values
1.849191126516075857e-03,1.849191126516071737e-03,1.228253343784760972e-03
3.882700167478809355e-04,3.882700167478867360e-04,3.188285061990594528e-04
1.347700989335516358e-03,1.347700989335517876e-03,1.126036991503782687e-03
1.293161586528920621e-03,1.293161586528921705e-03,1.045363728544615803e-03
-1.450436151156586856e-03,-1.450436151156589458e-03,5.224635342623800251e-04
1.296305016595740336e-04,1.296305016595653871e-04,1.022395203380150474e-04
-1.570622253346065948e-03,-1.570622253346061828e-03,1.465023631621308184e-03
9.843978007398224584e-04,9.843978007398142185e-04,8.849980257278940035e-04
1.004156404131463347e-04,1.004156404131482591e-04,8.245700211978226868e-05
1.222570325276040558e-03,1.222570325276044461e-03,8.795829199700637337e-04
2.792538350275968178e-03,2.792538350275975117e-03,2.015576507355420523e-03
-6.215747205924476888e-03,-6.215747205924478623e-03,5.425699038665862152e-03
2.029385497566361680e-03,2.029385497566361246e-03,1.549189379178536087e-03
-4.513286333222489566e-03,-4.513286333222491301e-03,3.755211556684239557e-03
7.456404677409198857e-04,7.456404677409168499e-04,5.176159436273465326e-04
-1.101045075158962102e-03,-1.101045075158961451e-03,9.241088840115330117e-04
1.222960778010957024e-03,1.222960778010959409e-03,9.744053648868435244e-04
-1.905733467642270560e-03,-1.905733467642270777e-03,1.563980909408725162e-03
2.507271465360826415e-03,2.507271465360835956e-03,2.261225580944202420e-03
-2.393452116249172520e-03,-2.393452116249176857e-03,1.997260617262925936e-03
1.099730063693772197e-03,1.099730063693771763e-03,9.587204595089907902e-04
-1.906318926332012994e-03,-1.906318926332012560e-03,1.564549933714997178e-03
-1.523092608884475153e-03,-1.523092608884478623e-03,1.342208447415264025e-03
-2.786476812885112491e-03,-2.786476812885111190e-03,2.468901138108861928e-03
2.132564740013783745e-03,2.132564740013779409e-03,1.647948590316225363e-03
1.174827277573659836e-03,1.174827277573664607e-03,1.071597392331669410e-03
3.020470912828704477e-03,3.020470912828712717e-03,2.243994285063517953e-03
1.014909500764004519e-04,1.014909500764017529e-04,8.191406613439949967e-05
-1.049013750020243076e-03,-1.049013750020246112e-03,8.712287240182055650e-04
-2.859089439546125288e-04,-2.859089439546174619e-04,2.374414304760556185e-04
-1.612637532596073679e-03,-1.612637532596068908e-03,8.732510541854977956e-04
-3.748522767606811130e-04,-3.748522767606839862e-04,3.421924158519306963e-04
-1.572148295545108560e-03,-1.572148295545106392e-03,2.222899834875838245e-04
4.641533394646862702e-03,4.641533394646863570e-03,4.160845096012678532e-03
1.562246488783498475e-03,1.562246488783506498e-03,1.165720124335709561e-03
3.649306025229913158e-04,3.649306025229866537e-04,3.221438817193717722e-04
5.317412887886397745e-04,5.317412887886430271e-04,4.504901235636221755e-04
1.766518662391954346e-03,1.766518662391948925e-03,1.646122601779707092e-03
2.598387485811559997e-03,2.598387485811559563e-03,2.315940574270525503e-03
-7.606738424260337840e-04,-7.606738424260285798e-04,5.698031477527966708e-04
-1.960387889645841004e-03,-1.960387889645840136e-03,1.776422844428553281e-03
-3.038435511534804453e-03,-3.038435511534798815e-03,2.515183352437449279e-03
1.340138099265147367e-03,1.340138099265139777e-03,1.198288545769945774e-03
-8.303281921937329026e-04,-8.303281921937333363e-04,7.687946360602712376e-04
5.783910912115331577e-04,5.783910912115301220e-04,4.436660290922966638e-04
1.147828511253196071e-03,1.147828511253203010e-03,8.922254133757281415e-04
2.766217865470390409e-04,2.766217865470357341e-04,2.157691616265697808e-04
-1.509460584839775145e-03,-1.509460584839771892e-03,1.363601021225245612e-03
-1.614374811022744206e-03,-1.614374811022746374e-03,1.378503245059492337e-03
-5.774848036038481404e-04,-5.774848036038422857e-04,4.210033605185501608e-04
-1.925545090038768836e-03,-1.925545090038770137e-03,1.754914390715391461e-03
-7.347803483269009419e-04,-7.347803483268950872e-04,5.517350160833935438e-04
-8.473558665170856721e-04,-8.473558665170772154e-04,7.464795105089627736e-04
3.036159508498257470e-03,3.036159508498259638e-03,2.779916934564022422e-03
-4.467171053143918226e-04,-4.467171053143951295e-04,3.248115052938448967e-04
1.998919945624268169e-03,1.998919945624275541e-03,8.939373219617099270e-04
2.652023304192138806e-03,2.652023304192136638e-03,2.233442404489072858e-03
-2.782545575671963207e-03,-2.782545575671966243e-03,2.553226316119696845e-03
-3.393110786439485979e-03,-3.393110786439489882e-03,3.021006139340561784e-03
1.507934753959312571e-03,1.507934753959315824e-03,1.133093470819216677e-03
1.488275601566714686e-03,1.488275601566708614e-03,1.379618609416600073e-03
1.913381577124504893e-03,1.913381577124502724e-03,1.786833090794043982e-03
-2.368278417435693353e-03,-2.368278417435699425e-03,2.203411236642779762e-03
-1.147316359792071140e-03,-1.147316359792066587e-03,8.467901782681213360e-04
1.228500418337666582e-03,1.228500418337670919e-03,1.079895545011384968e-03
-2.661394414853413860e-03,-2.661394414853416462e-03,1.939645799993980606e-03
-1.233708774587546420e-04,-1.233708774587480555e-04,8.513586574637144687e-05
-3.454094994486319251e-03,-3.454094994486328358e-03,3.066074783483195652e-03
2.826611822438145506e-03,2.826611822438153312e-03,2.562199336079223292e-03
-3.365592471145024728e-04,-3.365592471145084901e-04,2.891709158317248536e-04
-7.095050054031369537e-04,-7.095050054031358695e-04,4.625917724931137369e-04
-1.602306659018335410e-04,-1.602306659018345710e-04,9.763484315849170936e-05
-1.081568916569659346e-03,-1.081568916569661080e-03,9.791903687799675092e-04
1.157659655848101857e-03,1.157659655848099906e-03,1.081968889477805855e-03
-8.898767202235203112e-04,-8.898767202235239974e-04,8.011478003920270621e-04
2.069091471117273130e-03,2.069091471117273564e-03,1.895960228305969102e-03
-2.547332151673864249e-03,-2.547332151673865550e-03,2.005519309397322310e-03
-1.384607788070856883e-04,-1.384607788070927898e-04,7.871809026177208361e-05
2.105343189891306643e-03,2.105343189891309245e-03,1.725205989444957662e-03
3.691044086161297377e-03,3.691044086161293907e-03,3.403309373384948155e-03
2.552651444969450574e-03,2.552651444969450140e-03,2.159054814583919943e-03
-4.509628326973040774e-04,-4.509628326973122089e-04,4.112285745751548434e-04
-1.335580772223387072e-03,-1.335580772223389241e-03,9.962577228654475800e-04
5.636083036981031800e-04,5.636083036981043726e-04,4.632011414416347707e-04
4.119360343669240822e-04,4.119360343669240280e-04,2.563065407775509761e-04
7.598298239947546499e-04,7.598298239947518309e-04,4.613922065248042331e-04
-1.229467608952361773e-03,-1.229467608952361339e-03,3.511195460763556265e-04
-2.242044631212475846e-03,-2.242044631212480182e-03,1.700385803482607058e-03
3.906798719235894321e-05,3.906798719235720849e-05,3.541511095042467529e-05
-8.679556143126700759e-05,-8.679556143126581497e-05,7.955987567644510800e-05
-9.380785481917545358e-04,-9.380785481917534516e-04,6.322428056966578102e-04
-3.038282541130670443e-03,-3.038282541130669576e-03,2.770988330739564479e-03
-2.616982315901169708e-03,-2.616982315901167540e-03,7.436631173774200512e-04
-6.881668472431566380e-04,-6.881668472431545780e-04,6.262775506136761348e-04
-2.310308726060578480e-03,-2.310308726060576311e-03,2.075237271656103170e-03
2.826602128666835540e-03,2.826602128666826433e-03,2.128075146913416434e-03
-5.789962732841813742e-05,-5.789962732841256055e-05,2.931917057219746115e-05
1.965235268955894087e-03,1.965235268955897990e-03,1.520579418112989094e-03
7.405920385009717114e-04,7.405920385009790840e-04,4.972056828902754900e-04
1.745558520960560417e-03,1.745558520960559332e-03,1.608720840272261608e-03
