# True Coefficients,sklearn Coefficients,Mean Abs. Shap Values
2.773786689774114002e-03,2.773786689774106196e-03,1.842380015677069251e-03
5.824050251218214303e-04,5.824050251218341155e-04,4.782427592985893689e-04
2.021551484003274429e-03,2.021551484003267923e-03,1.689055487255708941e-03
1.939742379793380931e-03,1.939742379793382449e-03,1.568045592817128835e-03
-2.175654226734880393e-03,-2.175654226734889500e-03,7.836953013934783684e-04
1.944457524893610640e-04,1.944457524893474301e-04,1.533592805070439909e-04
-2.355933380019098813e-03,-2.355933380019092742e-03,2.197535447432152553e-03
1.476596701109733796e-03,1.476596701109719051e-03,1.327497038591805715e-03
1.506234606197195155e-04,1.506234606197288939e-04,1.236855031796670740e-04
1.833855487914060837e-03,1.833855487914065174e-03,1.319374379955054943e-03
4.188807525413952050e-03,4.188807525413958989e-03,3.023364761032921316e-03
-9.323620808886715766e-03,-9.323620808886714031e-03,8.138548557999130198e-03
3.044078246349542303e-03,3.044078246349537966e-03,2.323784068768066941e-03
-6.769929499833734349e-03,-6.769929499833730879e-03,5.632817335025908957e-03
1.118460701611379829e-03,1.118460701611377010e-03,7.764239154410952594e-04
-1.651567612738442936e-03,-1.651567612738439033e-03,1.386163326017321581e-03
1.834441167016435644e-03,1.834441167016443667e-03,1.461608047330220130e-03
-2.858600201463406057e-03,-2.858600201463402588e-03,2.345971364112943436e-03
3.760907198041240056e-03,3.760907198041248296e-03,3.391838371416234458e-03
-3.590178174373758781e-03,-3.590178174373769189e-03,2.995890925894706142e-03
1.649595095540658295e-03,1.649595095540661114e-03,1.438080689263637269e-03
-2.859478389498019708e-03,-2.859478389498018407e-03,2.346824900572377914e-03
-2.284638913326712730e-03,-2.284638913326716633e-03,2.013312671122551804e-03
-4.179715219327668520e-03,-4.179715219327676326e-03,3.703351707163047863e-03
3.198847110020675184e-03,3.198847110020674751e-03,2.471922885474523227e-03
1.762240916360489863e-03,1.762240916360497019e-03,1.607396088497500429e-03
4.530706369243056933e-03,4.530706369243063004e-03,3.365991427595113866e-03
1.522364251146006778e-04,1.522364251146063156e-04,1.228710992016015873e-04
