# True Coefficients,sklearn Coefficients,Mean Abs. Shap Values
4.622977816290189425e-03,4.622977816290180751e-03,3.070633359461671062e-03
9.706750418697023116e-04,9.706750418697202010e-04,7.970712654976332091e-04
3.369252473338791003e-03,3.369252473338795774e-03,2.815092478759732755e-03
3.232903966322301335e-03,3.232903966322293963e-03,2.613409321361661371e-03
-3.626090377891467032e-03,-3.626090377891484379e-03,1.306158835655960634e-03
3.240762541489350976e-04,3.240762541489149856e-04,2.555988008450658282e-04
-3.926555633365164978e-03,-3.926555633365164111e-03,3.662559079053693840e-03
2.460994501849556471e-03,2.460994501849536956e-03,2.212495064319689418e-03
2.510391010328658231e-04,2.510391010328762856e-04,2.061425052994578266e-04
3.056425813190101395e-03,3.056425813190116574e-03,2.198957299925100462e-03
6.981345875689920662e-03,6.981345875689942346e-03,5.038941268388105917e-03
-1.553936801481119352e-02,-1.553936801481119352e-02,1.356424759666602711e-02
5.073463743915903983e-03,5.073463743915899646e-03,3.872973447946952141e-03
-1.128321583305622391e-02,-1.128321583305622045e-02,9.388028891710295532e-03
1.864101169352299714e-03,1.864101169352301232e-03,1.294039859068499146e-03
-2.752612687897405038e-03,-2.752612687897397232e-03,2.310272210028866194e-03
3.057401945027392667e-03,3.057401945027401775e-03,2.436013412216937127e-03
-4.764333669105676183e-03,-4.764333669105674449e-03,3.909952273521677055e-03
6.268178663402066905e-03,6.268178663402082518e-03,5.653063952360063045e-03
-5.983630290622931301e-03,-5.983630290622937373e-03,4.993151543157564425e-03
2.749325159234430275e-03,2.749325159234434178e-03,2.396801148772387258e-03
-4.765797315830032702e-03,-4.765797315830030967e-03,3.911374834287459010e-03
-3.807731522211187884e-03,-3.807731522211188317e-03,3.355521118537939211e-03
-6.966192032212781445e-03,-6.966192032212776240e-03,6.172252845271190315e-03
5.331411850034458930e-03,5.331411850034439848e-03,4.119871475790590730e-03
2.937068193934149699e-03,2.937068193934161409e-03,2.678993480829013930e-03
7.551177282071761844e-03,7.551177282071775722e-03,5.609985712658218521e-03
2.537273751910011296e-04,2.537273751910080685e-04,2.047851653359948393e-04
-2.622534375050607474e-03,-2.622534375050614847e-03,2.178071810045605419e-03
-7.147723598865312949e-04,-7.147723598865591589e-04,5.936035761901680080e-04
-4.031593831490183980e-03,-4.031593831490173571e-03,2.183127635463806993e-03
-9.371306919017028097e-04,-9.371306919017056286e-04,8.554810396297783583e-04
-3.930370738862771184e-03,-3.930370738862774653e-03,5.557249587189606183e-04
1.160383348661715719e-02,1.160383348661715025e-02,1.040211274003191577e-02
3.905616221958745863e-03,3.905616221958767981e-03,2.914300310839401404e-03
9.123265063074783437e-04,9.123265063074705375e-04,8.053597042983806414e-04
1.329353221971599436e-03,1.329353221971603122e-03,1.126225308909176029e-03
4.416296655979885973e-03,4.416296655979878166e-03,4.115306504449549839e-03
6.495968714528899991e-03,6.495968714528897389e-03,5.789851435676266270e-03
-1.901684606065084460e-03,-1.901684606065066896e-03,1.424507869381911717e-03
-4.900969724114603160e-03,-4.900969724114610966e-03,4.441057111071154001e-03
-7.596088778837011349e-03,-7.596088778837000940e-03,6.287958381093117742e-03
3.350345248162868092e-03,3.350345248162847275e-03,2.995721364424902382e-03
-2.075820480484332365e-03,-2.075820480484329763e-03,1.921986590150415392e-03
1.445977728028832732e-03,1.445977728028825793e-03,1.109165072730830103e-03
2.869571278132990177e-03,2.869571278133005790e-03,2.230563533439303657e-03
6.915544663675976837e-04,6.915544663675886848e-04,5.394229040663578141e-04
-3.773651462099437970e-03,-3.773651462099431031e-03,3.409002553062928306e-03
-4.035937027556861165e-03,-4.035937027556857695e-03,3.446258112648648876e-03
-1.443712009009620297e-03,-1.443712009009611406e-03,1.052508401296369358e-03
-4.813862725096922091e-03,-4.813862725096926427e-03,4.387285976788597372e-03
-1.836950870817252463e-03,-1.836950870817232948e-03,1.379337540208523108e-03
-2.118389666292714180e-03,-2.118389666292692930e-03,1.866198776272354025e-03
7.590398771245643675e-03,7.590398771245650614e-03,6.949792336409501593e-03
-1.116792763285979475e-03,-1.116792763285989233e-03,8.120287632345737526e-04
