Pearson,Kendall,,Average Pearson:  0.94652235,,,Pearson St. Dev:  0.06291847
0.995315986,0.905263158,,Average Kendall:  0.86389474,,,Kendall St. Dev: 0.06810757
0.978255386,0.926315789,,,,,
0.971160141,0.905263158,,,,,
0.940895522,0.873684211,,,,,
0.868887362,0.778947368,,,,,
0.947025414,0.873684211,,,,,
0.942504542,0.873684211,,,,,
0.919526924,0.747368421,,,,,
0.919346225,0.831578947,,,,,
0.996246224,0.884210526,,,,,
0.982922727,0.957894737,,,,,
0.984618816,0.905263158,,,,,
0.835614505,0.810526316,,,,,
0.712915287,0.610526316,,,,,
0.989587428,0.947368421,,,,,
0.899454637,0.863157895,,,,,
0.763771338,0.831578947,,,,,
0.987255018,0.926315789,,,,,
0.981070312,0.863157895,,,,,
0.991593832,0.863157895,,,,,
0.82715641,0.8,,,,,
0.992397699,0.957894737,,,,,
0.973004394,0.789473684,,,,,
0.989573582,0.905263158,,,,,
0.958766721,0.810526316,,,,,
0.984998016,0.915789474,,,,,
0.644860324,0.673684211,,,,,
0.971450647,0.894736842,,,,,
0.944236713,0.852631579,,,,,
0.985423613,0.905263158,,,,,
0.993016712,0.947368421,,,,,
0.981948659,0.905263158,,,,,
0.988503619,0.905263158,,,,,
0.910253698,0.810526316,,,,,
0.851651526,0.747368421,,,,,
0.967032603,0.821052632,,,,,
0.870894501,0.715789474,,,,,
0.990846384,0.915789474,,,,,
0.966631917,0.831578947,,,,,
0.987381234,0.926315789,,,,,
0.905318047,0.873684211,,,,,
0.890186526,0.810526316,,,,,
0.982747048,0.968421053,,,,,
0.780821188,0.705263158,,,,,
0.94864038,0.873684211,,,,,
0.986475915,0.915789474,,,,,
0.954352216,0.810526316,,,,,
0.984811464,0.936842105,,,,,
0.953752637,0.842105263,,,,,
0.955073302,0.8,,,,,
0.949480001,0.821052632,,,,,
0.97756798,0.915789474,,,,,
0.828959532,0.736842105,,,,,
0.971753786,0.852631579,,,,,
0.992670571,0.926315789,,,,,
0.937371223,0.842105263,,,,,
0.978599498,0.915789474,,,,,
0.992143946,0.894736842,,,,,
0.961207818,0.810526316,,,,,
0.824080434,0.778947368,,,,,
0.987145477,0.894736842,,,,,
0.976723879,0.926315789,,,,,
0.968306828,0.905263158,,,,,
0.965387733,0.873684211,,,,,
0.986726573,0.947368421,,,,,
0.971191659,0.905263158,,,,,
0.985516223,0.894736842,,,,,
0.919236104,0.789473684,,,,,
0.953390642,0.736842105,,,,,
0.980561309,0.957894737,,,,,
0.986910458,0.905263158,,,,,
0.905402856,0.852631579,,,,,
0.960809892,0.905263158,,,,,
0.956495595,0.821052632,,,,,
0.986587275,0.905263158,,,,,
0.877716143,0.873684211,,,,,
0.966006866,0.810526316,,,,,
0.977084157,0.926315789,,,,,
0.953817443,0.852631579,,,,,
0.994150331,0.947368421,,,,,
0.986433246,0.915789474,,,,,
0.983679345,0.863157895,,,,,
0.90394828,0.884210526,,,,,
0.993745489,0.936842105,,,,,
0.982135645,0.831578947,,,,,
0.950721777,0.884210526,,,,,
0.996189378,0.915789474,,,,,
0.941314993,0.926315789,,,,,
0.972105341,0.894736842,,,,,
0.990457537,0.894736842,,,,,
0.982121465,0.894736842,,,,,
0.98698879,0.905263158,,,,,
0.890916902,0.884210526,,,,,
0.952238724,0.789473684,,,,,
0.977948512,0.905263158,,,,,
0.981959687,0.884210526,,,,,
0.990264781,0.852631579,,,,,
0.895936855,0.821052632,,,,,
0.994354113,0.915789474,,,,,
0.895596506,0.715789474,,,,,
