# Pearson,Kendall,,Average Pearson: 0.453928332177124
3.76E-01,9.47E-02,,Average Kendall: 0.268105263157894
6.67E-01,5.26E-01,,
1.44E-01,4.21E-02,,Pearson St. Dev: 0.215780500739343
-5.19E-02,0.00E+00,,Kendall St. Dev: 0.161156839455801
2.85E-01,2.32E-01,,
1.60E-01,9.47E-02,,
4.29E-01,2.53E-01,,
6.00E-01,3.16E-01,,
3.02E-01,2.11E-02,,
6.71E-01,3.37E-01,,
6.94E-01,5.47E-01,,
4.48E-01,1.68E-01,,
4.62E-01,2.53E-01,,
7.69E-01,4.95E-01,,
3.77E-01,3.26E-01,,
4.64E-01,3.16E-01,,
6.99E-01,3.89E-01,,
3.07E-01,2.11E-01,,
3.82E-01,2.95E-01,,
7.01E-01,4.74E-01,,
3.96E-01,3.26E-01,,
7.21E-01,6.32E-01,,
6.63E-01,2.63E-01,,
3.42E-01,1.89E-01,,
1.70E-01,9.47E-02,,
3.04E-01,1.79E-01,,
5.63E-01,3.16E-01,,
5.20E-01,1.37E-01,,
5.12E-01,3.68E-01,,
9.38E-03,2.11E-02,,
7.14E-01,4.95E-01,,
6.51E-01,3.37E-01,,
1.71E-02,-5.26E-02,,
6.96E-01,4.11E-01,,
4.30E-01,2.74E-01,,
5.74E-01,2.42E-01,,
2.87E-01,1.47E-01,,
5.22E-01,1.37E-01,,
6.13E-01,4.42E-01,,
3.26E-01,1.89E-01,,
3.46E-01,1.89E-01,,
4.12E-01,2.21E-01,,
5.58E-01,2.63E-01,,
5.45E-01,3.47E-01,,
5.14E-01,3.47E-01,,
5.11E-01,3.47E-01,,
3.92E-01,2.32E-01,,
2.00E-01,1.89E-01,,
4.24E-01,2.21E-01,,
5.85E-01,3.26E-01,,
2.05E-01,1.68E-01,,
3.20E-01,8.42E-02,,
3.58E-01,8.42E-02,,
6.46E-01,2.84E-01,,
5.56E-01,4.63E-01,,
3.74E-01,2.32E-01,,
7.78E-01,5.68E-01,,
3.42E-01,2.95E-01,,
3.41E-01,9.47E-02,,
-1.30E-03,-1.05E-02,,
6.34E-01,4.32E-01,,
2.62E-01,1.26E-01,,
7.25E-01,3.37E-01,,
4.04E-01,2.00E-01,,
6.82E-01,3.05E-01,,
8.36E-01,5.68E-01,,
7.88E-01,3.05E-01,,
8.39E-01,6.32E-01,,
3.09E-01,2.00E-01,,
-6.40E-02,0.00E+00,,
2.30E-01,1.89E-01,,
3.83E-01,2.21E-01,,
5.39E-01,-1.26E-01,,
4.84E-01,2.53E-01,,
7.68E-01,5.26E-01,,
6.85E-01,5.26E-01,,
6.73E-01,3.68E-01,,
8.32E-01,6.53E-01,,
6.72E-02,-1.05E-02,,
4.66E-01,2.21E-01,,
3.83E-01,3.79E-01,,
4.87E-01,2.74E-01,,
6.88E-01,4.42E-01,,
1.74E-02,5.26E-02,,
3.73E-01,2.95E-01,,
-2.71E-02,0.00E+00,,
5.70E-01,2.11E-01,,
4.62E-01,2.84E-01,,
3.17E-01,2.42E-01,,
4.99E-01,2.74E-01,,
3.67E-01,1.79E-01,,
6.45E-01,4.53E-01,,
3.01E-01,1.26E-01,,
6.07E-01,3.79E-01,,
5.88E-01,3.47E-01,,
5.21E-01,3.47E-01,,
3.52E-01,1.58E-01,,
6.54E-01,3.58E-01,,
4.90E-01,3.37E-01,,
2.35E-01,2.63E-01,,
