# Pearson,Kendall,,Average Pearson: 0.914823086318786
9.09E-01,6.32E-01,,Average Kendall: 0.753368421052632
9.77E-01,8.21E-01,,
7.18E-01,6.21E-01,,Pearson St. Dev: 0.0699178980887076
9.32E-01,8.00E-01,,Kendall St. Dev: 0.0844130340188258
9.35E-01,7.47E-01,,
9.62E-01,8.63E-01,,
9.35E-01,7.79E-01,,
9.42E-01,7.89E-01,,
9.82E-01,8.00E-01,,
7.43E-01,6.21E-01,,
9.39E-01,7.89E-01,,
9.41E-01,7.89E-01,,
9.74E-01,8.11E-01,,
9.60E-01,7.68E-01,,
7.35E-01,7.89E-01,,
9.78E-01,8.53E-01,,
9.61E-01,8.63E-01,,
9.79E-01,8.21E-01,,
9.80E-01,8.42E-01,,
9.62E-01,7.26E-01,,
9.71E-01,8.95E-01,,
9.75E-01,8.00E-01,,
9.33E-01,7.79E-01,,
9.30E-01,7.58E-01,,
9.31E-01,7.58E-01,,
8.91E-01,6.32E-01,,
9.75E-01,8.84E-01,,
9.11E-01,7.68E-01,,
9.35E-01,8.74E-01,,
9.12E-01,7.68E-01,,
9.45E-01,7.68E-01,,
9.23E-01,8.84E-01,,
9.06E-01,6.74E-01,,
9.55E-01,8.53E-01,,
9.03E-01,6.95E-01,,
9.66E-01,8.63E-01,,
8.77E-01,6.53E-01,,
9.07E-01,7.37E-01,,
9.58E-01,8.32E-01,,
9.44E-01,7.79E-01,,
9.58E-01,8.63E-01,,
8.38E-01,6.84E-01,,
9.54E-01,7.58E-01,,
8.60E-01,6.95E-01,,
8.97E-01,6.95E-01,,
9.50E-01,8.11E-01,,
9.10E-01,7.05E-01,,
9.35E-01,8.11E-01,,
9.46E-01,7.47E-01,,
9.62E-01,7.58E-01,,
9.71E-01,8.11E-01,,
7.62E-01,6.00E-01,,
9.14E-01,7.16E-01,,
9.64E-01,7.37E-01,,
7.85E-01,7.05E-01,,
9.12E-01,8.11E-01,,
9.75E-01,7.68E-01,,
9.46E-01,8.53E-01,,
7.71E-01,6.74E-01,,
8.87E-01,7.37E-01,,
8.93E-01,6.53E-01,,
8.82E-01,6.63E-01,,
9.20E-01,7.79E-01,,
9.54E-01,7.89E-01,,
9.23E-01,6.95E-01,,
8.88E-01,7.26E-01,,
8.48E-01,7.37E-01,,
8.44E-01,7.05E-01,,
9.65E-01,7.68E-01,,
9.72E-01,7.68E-01,,
9.46E-01,7.47E-01,,
9.71E-01,8.42E-01,,
8.43E-01,6.74E-01,,
9.64E-01,8.42E-01,,
8.21E-01,6.11E-01,,
9.01E-01,7.79E-01,,
8.60E-01,5.58E-01,,
6.98E-01,5.47E-01,,
9.36E-01,8.00E-01,,
9.46E-01,7.89E-01,,
9.53E-01,8.00E-01,,
9.49E-01,7.68E-01,,
9.44E-01,7.58E-01,,
9.33E-01,8.11E-01,,
9.67E-01,8.00E-01,,
9.73E-01,8.00E-01,,
9.51E-01,6.74E-01,,
9.34E-01,6.95E-01,,
9.68E-01,7.79E-01,,
9.29E-01,7.79E-01,,
9.43E-01,8.32E-01,,
9.20E-01,7.16E-01,,
8.29E-01,7.16E-01,,
9.36E-01,7.79E-01,,
9.14E-01,7.58E-01,,
9.47E-01,7.79E-01,,
9.39E-01,4.74E-01,,
5.93E-01,5.16E-01,,
8.10E-01,6.00E-01,,
9.86E-01,9.16E-01,,
